epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,13799.7,0.96973,0.78558,1.02616,0.69018,0.48972,0.54885,0.3965,1.45332,1.59303,1.37887,0.000231213,0.000231213,0.000231213
89,13863.3,0.98406,0.7899,1.01733,0.74672,0.48088,0.55308,0.4024,1.45088,1.61852,1.37738,0.00021471,0.00021471,0.00021471
90,13927.1,0.98291,0.77678,1.00486,0.64514,0.4899,0.54319,0.39861,1.43127,1.5784,1.39439,0.000198206,0.000198206,0.000198206
91,13989.3,0.96122,0.77062,1.00049,0.66577,0.4723,0.52658,0.37754,1.46574,1.66492,1.38847,0.000181703,0.000181703,0.000181703
92,14051.2,0.9194,0.71951,0.98419,0.66776,0.47991,0.5378,0.3853,1.49826,1.63642,1.45235,0.0001652,0.0001652,0.0001652
93,14098.4,0.89368,0.69314,0.97664,0.68213,0.49769,0.54683,0.39064,1.49272,1.61162,1.42846,0.000148696,0.000148696,0.000148696
94,14142.9,0.90501,0.69328,0.98497,0.69078,0.49724,0.54974,0.39268,1.45418,1.55647,1.38305,0.000132193,0.000132193,0.000132193
95,14187.2,0.91431,0.69276,0.97812,0.63691,0.52495,0.54517,0.39647,1.47148,1.57595,1.3893,0.00011569,0.00011569,0.00011569
96,14231.7,0.90918,0.68135,0.98754,0.64369,0.51921,0.54988,0.4002,1.47179,1.59208,1.36851,9.91865e-05,9.91865e-05,9.91865e-05
97,14276.3,0.89558,0.67617,0.97554,0.67497,0.50742,0.54911,0.40098,1.47358,1.64661,1.37136,8.26832e-05,8.26832e-05,8.26832e-05
98,14322.1,0.90831,0.6715,0.97899,0.65014,0.517,0.54714,0.39839,1.4561,1.59142,1.36255,6.61799e-05,6.61799e-05,6.61799e-05
99,14371.3,0.88011,0.66473,0.96658,0.62517,0.50752,0.55427,0.40443,1.44696,1.5871,1.3613,4.96766e-05,4.96766e-05,4.96766e-05
100,14421.7,0.8904,0.66467,0.97276,0.63399,0.52331,0.55619,0.40384,1.43327,1.61273,1.3445,3.31733e-05,3.31733e-05,3.31733e-05
